Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
 2 15  46  22.00   2.40   1.50                     
 2 15  46  23.00   2.40   1.50                     
 2 15  46   0.00   2.50   2.00                     
 2 15  46   1.00   2.10   1.50                     
 2 15  46   2.00   1.80                            
 2 15  46   3.00   2.10                            
 2 15  46   4.00   3.60   1.50   1.80              
 2 15  46   5.00   6.00   2.00   2.10              
 2 15  46   6.00   5.70   2.30   2.60              
 2 15  46   7.00   5.80   1.70   3.00              
 2 15  46   8.00   5.80   2.60   3.05              
 2 15  46   9.00   6.30   2.60   3.10              
 2 15  46  10.00   5.30   2.50   3.10              
 2 15  46  11.00   4.80   2.40   3.00              
 2 15  46  12.00   5.20   2.30   2.75              
 2 15  46  13.00   4.60   1.90   2.10              
 2 15  46  14.00   4.60   1.50   1.60              
 2 15  46  15.00   3.60   1.60                     
 2 15  46  16.00   3.30   1.50                     
 2 15  46  17.00   2.90   1.60                     
 2 15  46  18.00   2.40   1.50                     
 2 15  46  19.00   2.80   1.60                     
 2 15  46  20.00   2.80   1.70                     
 2 15  46  21.00   2.70   1.60                     
