Mo da yda   time   FoF2   foEs    foE   foF1   fbEs
12 15 350  22.00   2.80   1.50                     
12 15 350  23.00   2.70   1.00                     
12 15 350   0.00   2.00   1.80                     
12 15 350   1.00   2.00   1.50                     
12 15 350   2.00   2.00   1.50                     
12 15 350   3.00   2.00   1.50                     
12 15 350   4.00   2.00   1.50                     
12 15 350   5.00   3.60   2.00  140.00              
12 15 350   6.00   4.40   2.10                     
12 15 350   7.00   6.30   2.20                     
12 15 350   8.00   5.30   2.40  220.00              
12 15 350   9.00   5.60   2.10  235.00              
12 15 350  10.00   4.80   2.60  210.00              
12 15 350  11.00   5.00   2.20                     
12 15 350  12.00   4.30   1.70  170.00              
12 15 350  13.00   3.90   1.50                     
12 15 350  14.00   2.70   1.90                     
12 15 350  15.00   2.00   1.60                     
12 15 350  16.00   2.10   1.50                     
12 15 350  17.00   2.30   1.70                     
12 15 350  18.00   2.50   1.60                     
12 15 350  19.00   2.30   1.70                     
12 15 350  20.00   2.20   1.70                     
12 15 350  21.00   2.30   1.50                     
