mo da yda  time  FoF2  FoF1   FoE  HmF2  HmF1   HmE   Tec  HTop    B0    B1    D1
12  4 338  0.00  2.65  0.00  0.00 229.0   0.0   0.0  1.04  27.9  43.5  4.62  0.00
12  4 338  0.25  2.73  0.00  0.00 232.5   0.0   0.0  1.50  38.0  56.5  5.39  0.00
12  4 338  0.50  2.97  0.00  0.00 240.4   0.0   0.0  2.03  43.3  69.8  3.86  0.00
12  4 338  0.75  3.44  0.00  0.00 221.9   0.0   0.0  1.95  30.0  47.3  4.32  0.00
12  4 338  1.00  3.85  0.00  1.38 216.3   0.0 113.0  2.35  28.9  42.1  6.00  0.00
12  4 338  1.25  4.49  0.00  1.46 235.1   0.0 112.3  3.98  36.7  58.9  3.96  0.00
12  4 338  1.50  4.72  0.00  1.62 208.3   0.0 107.2  3.02  24.0  40.0  3.12  0.00
12  4 338  1.75  4.88  0.00  1.70 198.6   0.0 106.2  3.01  22.4  36.3  3.39  0.00
12  4 338  2.00  5.36  0.00  1.86 201.4   0.0 102.7  3.54  21.2  43.2  1.57  0.00
12  4 338  2.25  5.21  0.00  1.94 207.1   0.0 107.7  4.18  27.6  47.3  2.74  0.00
12  4 338  2.50  5.20  0.00  2.02 200.0   0.0 109.4  4.25  28.4  50.3  2.32  0.00
12  4 338  2.75  5.20  0.00  2.10 199.0   0.0 108.9  4.21  27.7  52.6  1.98  0.00
12  4 338  3.00  5.12  0.00  2.18 206.3   0.0 109.4  4.95  34.1  62.7  2.20  0.00
12  4 338  3.25  5.13  0.00  2.26 202.8   0.0 110.9  4.10  27.4  48.1  2.29  0.00
12  4 338  3.50  4.81  0.00  2.34 195.0   0.0 109.0  4.08  31.5  56.2  2.34  0.00
12  4 338  3.75  5.04  0.00  2.34 212.3   0.0 111.0  5.10  35.8  72.7  1.88  0.00
12  4 338  4.00  4.89  0.00  2.42 204.2   0.0 111.1  4.73  35.5  65.7  2.19  0.00
12  4 338  4.25  4.89  0.00  2.42 214.8   0.0 108.3  5.09  38.3  63.0  3.02  0.00
12  4 338  4.50  5.05  3.32  2.50 203.3 151.2 103.8  4.99  36.2  62.0  2.51  0.50
12  4 338  4.75  5.21  3.16  2.50 212.2 149.0 108.3  5.98  41.4  68.5  3.01  0.50
12  4 338  5.25  5.61  0.00  2.50 215.0   0.0 105.3  6.60  38.1  68.0  2.36  0.00
12  4 338  5.50  5.29  0.00  2.50 198.1   0.0 106.7  4.51  28.0  57.5  1.57  0.00
12  4 338  5.75  5.68  0.00  2.42 202.1   0.0 104.1  5.01  27.0  59.7  1.28  0.00
12  4 338  6.00  5.37  0.00  2.42 198.6   0.0 102.8  4.89  30.2  56.3  1.96  0.00
12  4 338  6.25  4.88  0.00  2.34 198.2   0.0 105.1  4.70  35.9  63.1  2.50  0.00
12  4 338  6.50  5.04  0.00  2.34 205.3   0.0 103.0  4.53  31.1  71.0  1.29  0.00
12  4 338  6.75  5.12  0.00  0.00 212.3   0.0   0.0  4.79  32.2  64.4  1.71  0.00
12  4 338  7.00  5.13  0.00  0.00 201.1   0.0   0.0  3.81  25.0  46.4  2.01  0.00
12  4 338  7.25  4.81  0.00  0.00 208.9   0.0   0.0  4.09  31.3  58.1  2.11  0.00
12  4 338  7.50  4.90  3.00  0.00 221.4 169.2   0.0  4.69  36.3  57.1  3.46  0.50
12  4 338  7.75  4.80  0.00  0.00 209.8   0.0   0.0  3.49  26.6  48.9  2.05  0.00
12  4 338  8.00  4.57  0.00  0.00 219.9   0.0   0.0  3.96  34.3  58.9  2.72  0.00
12  4 338  8.25  4.64  0.00  0.00 218.5   0.0   0.0  3.84  32.3  57.7  2.40  0.00
12  4 338  8.50  5.53  0.00  0.00 235.1   0.0   0.0  5.12  30.9  53.0  2.85  0.00
12  4 338  8.75  5.44  0.00  0.00 212.5   0.0   0.0  3.25  20.2  30.5  5.02  0.00
12  4 338  9.00  4.40  0.00  0.00 200.3   0.0   0.0  1.72  15.7  26.1  3.35  0.00
12  4 338  9.25  3.60  0.00  0.00 210.7   0.0   0.0  1.49  21.1  30.1  6.00  0.00
12  4 338  9.50  2.96  0.00  0.00 241.4   0.0   0.0  2.28  49.9  87.2  3.02  0.00
12  4 338  9.75  3.04  0.00  0.00 295.5   0.0   0.0  2.59  54.9  80.2  6.00  0.00
12  4 338 10.00  3.12  0.00  0.00 257.0   0.0   0.0  2.05  40.7  72.4  2.72  0.00
12  4 338 10.25  2.88  0.00  0.00 258.1   0.0   0.0  1.80  42.0  74.7  2.74  0.00
